Date,TRM
31/12/1991,632.37
31/01/1992,644.27
29/02/1992,636.54
31/03/1992,641.59
30/04/1992,653.83
30/05/1992,664.37
27/06/1992,697.57
31/07/1992,705.14
29/08/1992,691.68
30/09/1992,702.81
31/10/1992,716.88
28/11/1992,725.45
31/12/1992,737.98
30/01/1993,746.05
27/02/1993,758.03
31/03/1993,766.41
30/04/1993,774.94
29/05/1993,779.56
30/06/1993,787.12
31/07/1993,801.35
31/08/1993,806.86
30/09/1993,810.84
30/10/1993,817.03
30/11/1993,811.73
31/12/1993,804.33
29/01/1994,818.38
26/02/1994,819.7
31/03/1994,819.51
30/04/1994,836.86
31/05/1994,841.12
30/06/1994,819.64
30/07/1994,815.62
31/08/1994,816.3
30/09/1994,842
29/10/1994,838.55
30/11/1994,829.03
31/12/1994,831.27
31/01/1995,856.41
28/02/1995,856.99
31/03/1995,880.23
29/04/1995,877.9
31/05/1995,876.36
30/06/1995,881.23
29/07/1995,897.63
31/08/1995,960.19
30/09/1995,966.78
31/10/1995,994.5
30/11/1995,998.16
30/12/1995,987.65
31/01/1996,1028.14
29/02/1996,1039.81
30/03/1996,1046
30/04/1996,1058.9
31/05/1996,1073.06
29/06/1996,1069.11
31/07/1996,1056.74
31/08/1996,1042.32
28/09/1996,1025.06
31/10/1996,1005.83
30/11/1996,1002.28
31/12/1996,1005.33
31/01/1997,1070.97
28/02/1997,1080.51
27/03/1997,1059.88
30/04/1997,1063.11
31/05/1997,1077.09
28/06/1997,1089.01
31/07/1997,1109.65
30/08/1997,1172.28
30/09/1997,1246.27
31/10/1997,1281.2
29/11/1997,1305.66
31/12/1997,1293.58
31/01/1998,1342
28/02/1998,1343.85
31/03/1998,1358.03
30/04/1998,1365.72
30/05/1998,1397.07
27/06/1998,1363.04
31/07/1998,1370.65
29/08/1998,1440.87
30/09/1998,1556.15
31/10/1998,1575.08
28/11/1998,1547.11
31/12/1998,1542.11
30/01/1999,1582.9
27/02/1999,1568.3
31/03/1999,1533.51
30/04/1999,1604.44
29/05/1999,1671.67
30/06/1999,1732.1
31/07/1999,1809.5
31/08/1999,1954.72
30/09/1999,2017.27
30/10/1999,1971.59
30/11/1999,1923.77
30/12/1999,1873.77
29/01/2000,1976.72
29/02/2000,1946.17
31/03/2000,1951.56
29/04/2000,2004.47
31/05/2000,2084.92
30/06/2000,2139.11
29/07/2000,2172.79
31/08/2000,2208.21
30/09/2000,2212.26
31/10/2000,2158.36
30/11/2000,2172.84
29/12/2000,2229.18
31/01/2001,2240.8
28/02/2001,2257.45
31/03/2001,2310.57
28/04/2001,2346.73
31/05/2001,2324.98
30/06/2001,2298.85
31/07/2001,2298.27
31/08/2001,2301.23
29/09/2001,2332.19
31/10/2001,2310.02
30/11/2001,2308.59
29/12/2001,2291.18
31/01/2002,2264.82
28/02/2002,2309.82
28/03/2002,2261.23
30/04/2002,2275.35
31/05/2002,2321.16
29/06/2002,2398.82
31/07/2002,2625.06
31/08/2002,2703.55
28/09/2002,2828.08
31/10/2002,2773.73
30/11/2002,2784.21
31/12/2002,2864.79
31/01/2003,2926.46
28/02/2003,2956.31
29/03/2003,2958.25
30/04/2003,2887.82
31/05/2003,2853.33
28/06/2003,2817.32
31/07/2003,2880.4
30/08/2003,2832.94
30/09/2003,2889.39
31/10/2003,2884.17
29/11/2003,2836.05
31/12/2003,2778.21
31/01/2004,2742.47
28/02/2004,2682.34
31/03/2004,2678.16
30/04/2004,2646.99
29/05/2004,2724.92
30/06/2004,2699.58
31/07/2004,2612.44
31/08/2004,2551.43
30/09/2004,2595.17
30/10/2004,2575.19
30/11/2004,2479.1
31/12/2004,2389.75
29/01/2005,2367.76
26/02/2005,2323.77
31/03/2005,2376.48
30/04/2005,2348.32
28/05/2005,2332.79
30/06/2005,2331.81
30/07/2005,2308.49
31/08/2005,2304.3
30/09/2005,2289.61
29/10/2005,2289.57
30/11/2005,2274.04
30/12/2005,2284.22
31/01/2006,2265.65
28/02/2006,2247.32
31/03/2006,2289.98
29/04/2006,2375.03
31/05/2006,2482.41
30/06/2006,2633.12
29/07/2006,2426
31/08/2006,2396.63
30/09/2006,2394.31
31/10/2006,2315.38
30/11/2006,2300.42
29/12/2006,2238.79
31/01/2007,2259.72
28/02/2007,2224.12
31/03/2007,2190.3
28/04/2007,2110.67
31/05/2007,1930.64
30/06/2007,1960.61
31/07/2007,1971.8
31/08/2007,2173.17
29/09/2007,2023.19
31/10/2007,1999.44
30/11/2007,2060.42
29/12/2007,2014.76
31/01/2008,1939.6
29/02/2008,1843.59
29/03/2008,1821.6
30/04/2008,1780.21
31/05/2008,1744.01
28/06/2008,1923.02
31/07/2008,1792.24
30/08/2008,1932.2
30/09/2008,2174.62
31/10/2008,2359.52
29/11/2008,2318
31/12/2008,2243.59
31/01/2009,2420.26
28/02/2009,2555.89
31/03/2009,2561.21
30/04/2009,2289.73
30/05/2009,2140.66
27/06/2009,2158.67
31/07/2009,2043.37
29/08/2009,2035
30/09/2009,1922
31/10/2009,1993.8
28/11/2009,1997.47
31/12/2009,2044.23
30/01/2010,1982.29
27/02/2010,1932.32
31/03/2010,1928.59
30/04/2010,1969.75
29/05/2010,1971.55
30/06/2010,1916.46
31/07/2010,1842.79
31/08/2010,1823.74
30/09/2010,1799.89
30/10/2010,1831.64
30/11/2010,1916.96
31/12/2010,1913.98
29/01/2011,1857.98
26/02/2011,1895.56
31/03/2011,1879.47
30/04/2011,1768.19
28/05/2011,1817.34
30/06/2011,1780.16
30/07/2011,1777.82
31/08/2011,1783.66
30/09/2011,1915.1
29/10/2011,1863.06
30/11/2011,1967.18
30/12/2011,1942.7
31/01/2012,1815.08
29/02/2012,1767.83
31/03/2012,1792.07
28/04/2012,1761.2
31/05/2012,1827.83
30/06/2012,1784.6
31/07/2012,1789.02
31/08/2012,1830.5
29/09/2012,1800.52
31/10/2012,1829.89
30/11/2012,1817.93
29/12/2012,1768.23
31/01/2013,1773.24
28/02/2013,1816.42
28/03/2013,1832.2
30/04/2013,1828.79
31/05/2013,1891.48
29/06/2013,1929
31/07/2013,1890.33
31/08/2013,1935.43
28/09/2013,1914.65
31/10/2013,1884.06
30/11/2013,1931.88
31/12/2013,1926.83
31/01/2014,2008.26
28/02/2014,2054.9
29/03/2014,1965.32
30/04/2014,1935.14
31/05/2014,1900.64
28/06/2014,1881.19
31/07/2014,1872.43
30/08/2014,1918.62
30/09/2014,2028.48
31/10/2014,2050.52
29/11/2014,2206.19
31/12/2014,2392.46
31/01/2015,2441.1
28/02/2015,2496.99
31/03/2015,2576.05
30/04/2015,2388.06
30/05/2015,2533.79
27/06/2015,2585.11
31/07/2015,2866.04
29/08/2015,3101.1
30/09/2015,3121.94
31/10/2015,2897.83
28/11/2015,3101.1
31/12/2015,3149.47
30/01/2016,3287.31
27/02/2016,3306
31/03/2016,3022.35
30/04/2016,2851.14
28/05/2016,3069.17
30/06/2016,2916.15
30/07/2016,3081.75
31/08/2016,2933.82
30/09/2016,2879.95
29/10/2016,2967.66
30/11/2016,3165.09
30/12/2016,3000.71
31/01/2017,2936.66
28/02/2017,2896.27
31/03/2017,2880.24
29/04/2017,2947.85
31/05/2017,2920.42
30/06/2017,3038.26
29/07/2017,2995.23
31/08/2017,2937.09
30/09/2017,2936.67
31/10/2017,3011.44
30/11/2017,3006.09
29/12/2017,2984
31/01/2018,2844.14
28/02/2018,2855.93
29/03/2018,2780.47
28/04/2018,2806.28
31/05/2018,2879.32
30/06/2018,2930.8
31/07/2018,2875.72
31/08/2018,3027.39
29/09/2018,2972.18
31/10/2018,3202.44
30/11/2018,3240.02
29/12/2018,3249.75
31/01/2019,3163.46
28/02/2019,3072.01
30/03/2019,3174.79
30/04/2019,3247.72
31/05/2019,3357.82
29/06/2019,3205.67
31/07/2019,3296.85
31/08/2019,3427.29
28/09/2019,3462.01
31/10/2019,3389.94
30/11/2019,3522.48
31/12/2019,3277.14
31/01/2020,3411.45
29/02/2020,3539.86
31/03/2020,4064.81
30/04/2020,3983.29
30/05/2020,3718.82
27/06/2020,3758.91
31/07/2020,3739.49
29/08/2020,3760.38
30/09/2020,3878.94
31/10/2020,3858.56
